beer_name,brewery,ba_score,ranking,reviews,ratings,pdev,wants,gots,trade,location,style,alcohol,availability,note_desc
Dark Apparition,Jackie O's Pub & Brewery,4.21,"#1,946",202,983,9.03%,320,282,30,Ohio,Russian Imperial Stout,10.50%,Rotating,"
Russian Imperial Stouts are one of brewmaster Brad Clark’s favorite styles of beer and Dark Apparition is without a doubt his favorite beer to brew. We stuff 2200 pounds of malt into our 20bbl mash tun and by the end of the mash, dark malts are spilling onto the brew house floor! Brad includes great flavors he admires in his favorite Russian Imperial Stouts like chocolate, coffee, roast, dark fruit, caramel, and some nice earthy/spicy hop character. With a midnight black color and chewy, dextrinous body, Dark Apparition is a huge beer with tons of character."
Gueuze Tilquin (Draught Version),Gueuzerie Tilquin,4.31,#959,89,423,7.89%,19,11,0,Belgium,Belgian Gueuze,4.80%,Rotating,"
The Gueuze Tilquin - draught version (4.8% alc/vol) is a spontaneous fermented beer, produced by blending a low alcohol lambic (called Meerts) and 1 and 2 years old lambics, all fermented and aged in oak barrels. It is unfiltered and unpasteurized, and it is refermented in the keg. The lambics used were fermented and oak aged in our installations. These lambics are coming from worts brewed by Boon, Lindemans, Girardin and Cantillon breweries."
Piraat,Brouwerij Van Steenberge N.V.,4.07,"#4,976","1,062","2,528",12.04%,132,411,2,Belgium,Belgian Strong Pale Ale,10.50%,Year-round,"
Belgian Strong Pale Ale, re-fermented with Bordeaux wine yeast"
Lucille IPA,Georgetown Brewing Company,4.16,"#2,992",61,316,8.89%,9,74,1,Washington,American IPA,7.20%,Rotating,"
No notes at this time."
Nate's Coffee Stout,Country Boy Brewing,4.09,"#6,552",11,42,7.82%,3,5,0,Kentucky,American Stout,8.00%,Rotating,"
No notes at this time."
Craic Traditional Irish Stout,The Portland Hotel & James Squire Brewhouse,3.83,"#21,513",10,10,8.36%,0,0,0,Australia,Irish Dry Stout,4.90%,Year-round,"
No notes at this time."
Bound By Time,Edmund's Oast,4.01,-,8,32,6.23%,0,5,0,South Carolina,American IPA,7.00%,Rotating,"
Made with good old-fashioned hop-bursting techniques, exorbitant dry hopping, and cutting-edge haze-infusion technology, Bound by Time is an offering to those looking for something brimming with hop character and as unadulterated as a butterfly’s wing."
Mango Mama,Minneapolis Town Hall Brewery,4.29,"#1,184",115,282,12.35%,196,5,0,Minnesota,American IPA,6.00%,Rotating,"
No notes at this time."
An Outstanding Contribution To The Historical Process,Hudson Valley Brewery,4.55,-,0,16,5.27%,2,1,0,New York,New England IPA,6.00%,Rotating,"
Collaboration with our friends Root + Branch Brewing Sour IPA w/ raw wheat, malted oat, milk sugar & blueberries; hopped w/ Citra, Mosaic & Galaxy."
Pineal,Tired Hands Brewing Company,4.29,"#1,133",64,405,6.76%,36,65,3,Pennsylvania,American IPA,6.00%,Rotating,"
Brewed with oats and PA wildflower honey and hopped with Mosaic, Amarillo, and a bit of Simcoe."
Great Ketch,Grey Sail Brewing of Rhode Island,4.08,"#5,545",17,108,10.78%,5,34,0,Rhode Island,American Imperial Pilsner,8.50%,Rotating,"
No notes at this time."
Barrel Aged Imperial Pajamas Stout,Begyle Brewing Company,4.26,"#1,870",18,93,7.98%,11,27,6,Illinois,American Imperial Stout,10.00%,Rotating,"
This imperial stout was aged 6 months in Heaven Hill Distilleries bourbon barrels; a combination of Elijah Craig 12 year and Evan Williams."
Orange Dreamsicle,J. Wakefield Brewing,4.35,"#1,130",11,72,8.05%,22,8,0,Florida,American Wild Ale,6.00%,Rotating,"
sour ale with oranges and vanilla added"
Fresh Hop Mosaic IPA,Castle Danger Brewery,4.33,"#1,164",24,93,7.62%,10,12,0,Minnesota,American IPA,6.50%,Fall,"
Mosaic Fresh Hop IPA is brewed with fresh Mosaic hops, picked fresh off the vine and immediately shipped to the brewery and put into the beer. Hops grow in a way to protect the Lupulin glands, which produce the hop flavors we love. Hops are traditionally pelletized which lock in the majority of oils for long term storage but removes some of the delicate flavors they can offer. Fresh hopped beers are a way for brewers to use hops in their purest form. Enjoy this farm fresh beer in fall just weeks after the hop harvest."
Johann Buys A Broat,Aslin Beer Company,4.31,"#1,386",27,85,7.66%,3,7,0,Virginia,American Imperial IPA,9.40%,Rotating,"
Formerly Mind The Hop With Pineapple, Mandarin Orange, And Vanilla"
Paw Swipe,Boxing Bear Brewing Co.,3.62,"#30,016",1,11,9.67%,1,1,0,New Mexico,American Pale Ale (APA),4.90%,Year-round,"
This American style pale ale is bright and bitter with nice pine and citrus notes. Punchy hop character with a clean finish make this beer a real crowd pleaser."
Big Bad Baptista,Epic Brewing Company,4.41,#369,139,631,6.12%,41,159,15,Utah,American Imperial Stout,11.00%,Rotating,"
Whiskey Barrel Aged Imperial Stout with Mexican coffee, cacao nibs, vanilla, and cinnamon."
Easy Livin',Crow Peak Brewing,3.23,"#40,561",4,16,20.43%,0,2,0,South Dakota,American Pale Ale (APA),4.50%,Summer,"
No notes at this time."
Route 70 Saison,Lanikai Brewing Company,4.08,"#9,123",2,19,7.11%,1,7,1,Hawaii,Belgian Saison,7.00%,Rotating,"
No notes at this time."
S'Mortal Kombat,3 Sons Brewing Company,4.58,-,2,16,7.86%,3,0,0,Florida,American Imperial Stout,12.80%,Limited (brewed once),"
No notes at this time."
Second Anniversary DIPA,Other Half Brewing Co.,4.42,#417,36,191,6.56%,17,11,1,New York,American Imperial IPA,9.00%,Rotating,"
This is one of the hoppiest fruit bombs we've ever made to date, with Citra, Galaxy, Wai-iti and Kohatu hops."
Sticky Drippy Crystals,Tired Hands Brewing Company,4.24,"#1,996",16,117,5.9%,6,16,3,Pennsylvania,Belgian Saison,not listed,Rotating,"
Our oak fermented honey Saison."
Red Rocket Ale,Bear Republic Brewing Co.,4.05,"#5,671","1,179","2,623",10.86%,183,276,4,California,American Amber / Red Ale,6.80%,Year-round,"
Red Rocket Ale is a bastardized Scottish style red ale that traces it's origins to our homebrew roots. This full bodied and hoppy brew finishes on the palate with sweet, caramel malt flavors."
Dr. Hoptagon,Parish Brewing Company,4.07,"#5,836",22,116,10.32%,6,30,3,Louisiana,American Black Ale,7.50%,Rotating,"
Parish Dr. Hoptagon is a badass Black IPA. Pleasantly offensive, this serum is bursting with bitter hops and black roasted malts. If you prefer weak, yellow beer or rainbow pooping unicorns, leave this web page and slowly back away."
Colt 45 Malt Liquor,Pabst Brewing Company,2.24,"#44,894",285,914,34.38%,18,190,0,California,American Malt Liquor,5.61%,Year-round,"
Introduced in 1963 by the Baltimore, Maryland-based National Brewing Company, Colt 45 was named in honor of running back Jerry Hill, who was #45 on the 1963 Baltimore Colts football team. Through high-profile partnerships with actor Billy Dee Williams and comedian Redd Foxx — who both appeared in radio, print, and TV advertisements – Colt 45 established itself as the premier malt liquor beverage by the early 1970s."
Hitachino Nest Commemorative Ale,Kiuchi Brewery,3.74,"#25,781",115,249,11.23%,17,25,0,Japan,German Eisbock,9.00%,Winter,"
No notes at this time."
Old Birdbrain,Black Raven Brewing Co.,4.3,"#1,382",23,103,8.14%,76,17,4,Washington,American Barleywine,11.50%,Winter,"
This robust strong ale features pale malts and generous hop additions. After primary fermentation, several American rye whiskey barrels are filled and cellared to age. The remaining beer is then cellared in a stainless steel tank. After many months of aging, the barrels are then blended into the remaining batch aged in the stainless steel tank."
Bran Reserva,Birrificio Montegioco,3.79,"#22,418",23,34,11.35%,2,2,0,Italy,Belgian Strong Dark Ale,8.50%,Rotating,"
No notes at this time."
Wednesday (2018),Cycle Brewing,4.48,-,5,27,4.91%,2,3,0,Florida,American Imperial Stout,11.00%,Limited (brewed once),"
Maple barrel-aged &+ imperial stout with cinnamon, vanilla and chili peppers"
Funkhaus,Oxbow Brewing Company,4.15,"#4,099",15,66,8.19%,12,3,0,Maine,Belgian IPA,7.50%,Spring,"
Farmhouse IPA with tropical hop notes enhanced by Brettanomyces."
Samuel Adams Boston Lager,Boston Beer Company (Samuel Adams),3.74,"#25,882","2,754","9,454",13.9%,203,"2,775",0,Massachusetts,Vienna Lager,5.00%,Year-round,"
Our original beer is full-flavored with a balance of malty sweetness contrasted by hop spiciness and a smooth finish."
Hop 15,Port Brewing,4.19,"#2,223",817,"1,884",10.02%,189,212,3,California,American Imperial IPA,10.00%,Rotating,"
First brewed in 2002 to celebrate the 15th Anniversary of the Pizza Port in Solana Beach, Hop 15 was imagined and designed by Tomme Arthur and Jeff Bagby. It was to be a celebration of 15 years of ""Good Beer Brings Good Cheer."" So there are 15 different hop varieties that are added to the beer every 15 minutes."
Lambiek Special,De Cam Geuzestekerij,4.37,#763,21,120,6.64%,63,15,5,Belgium,Belgian Fruit Lambic,5.50%,Rotating,"
Oak wooden barrels of 100+ yrs old are used to mature the young lambic together with 3 different whole fruits: yellow gooseberry, blackberry and sour cherry."
Moose Juice,Great Northern Brewing Co. / Black Star Draught House,3.8,"#22,323",3,17,10.26%,0,3,0,Montana,American IPA,6.70%,Rotating,"
No notes at this time."
Darius The Giant,Haw River Farmhouse Ales,4.43,"#3,842",1,11,6.32%,4,1,0,North Carolina,Flanders Red Ale,7.40%,Rotating,"
No notes at this time."
St. Victorious,Victory Brewing Company - Downingtown,4.06,"#5,463",378,577,10.59%,111,26,0,Pennsylvania,German Doppelbock,7.60%,Spring,"
Limited seasonal draft only release. Doppelbock brewed w/ smoked 2-row German malt from Bamberg."
Aecht Schlenkerla Fastenbier,Brauerei Heller-Trum / Schlenkerla,4.24,"#1,663",162,386,8.02%,100,28,1,Germany,German Rauchbier,5.50%,Spring,"
The Original Schlenkerla Lentbeer is an unfiltered smokebeer, brewed according to the Bavarian Purity Law of 1516. Bottom-fermenting yeast gives the reddish brown lentbeer a natural cloudiness. Its smokey aroma is already noticeable in the smell, combined with a fine hoppy note. In the drink the fullbodied, highly drinkable lentbeer shows its strong malty flavour, rounded up with the smokey taste and a light bitterness. Due to the nourishing yeast, the Original Schlenkerla Lentbeer has the ""Brotzeit already included"" (German word for afternoon snack)."
Pecan Dream,Holy City Brewing,3.95,"#12,017",16,49,13.42%,3,10,0,South Carolina,American Brown Ale,6.00%,Fall,"
We don’t blame you if you don’t believe us, but this beer was born in a dream. Sean arrived at the brewery one day, having woken from a dream where we brewed two beers. One was made with boiled peanuts, and the other with pecans. For logistical reasons, among others, we decided we had to make with ones with pecans. After sourcing 150 lbs of them, we split them up amongst ourselves, roasting every last nut in our respective home ovens. 5 pounds of those home-roasted pecans were added per barrel of this American brown ale, imparting a great nutty nose that presents itself more as the beer warms up."
Out Of The Emptiness,Tired Hands Brewing Company,4.24,"#2,041",12,109,7.31%,49,18,2,Pennsylvania,Belgian Saison,7.00%,Rotating,"
Wine barrel fermented orange-hued saison conditioned on local Italian plums."
Denali Vision,Bearded Iris Brewing,4.18,-,1,11,2.39%,0,1,0,Tennessee,American IPA,not listed,Rotating,"
No notes at this time."
Bamberg Helles,Micro Cervejaria Bamberg,3.47,"#34,494",3,10,13.26%,3,3,0,Brazil,German Helles,5.20%,Year-round,"
No notes at this time."
Wadmalaw Sunset,COAST Brewing Company,4.07,"#10,676",5,14,7.62%,2,0,0,South Carolina,Belgian Strong Pale Ale,7.50%,Rotating,"
Belgian Strong Pale Ale. Brewed with a boat load of local Wadmalaw honey."
Sucka Fish,Revision Brewing Company,4.13,-,6,12,6.3%,0,2,0,Nevada,American Imperial IPA,11.50%,Limited (brewed once),"
This sweet siren song of hoppy nectar will beckon you. Heaps of Amarillo, Mosaic and Simcoe hops provide a tantalizing mix of ripe citrus and fresh pine notes. Be forewarned! Drinking too deeply can sneak up on you like the siren’s rocks to a sailor’s ship, smacking you right upside your face when you least expect it."
South Of Eleven,Hoof Hearted Brewing,4.33,#864,51,259,7.16%,63,39,0,Ohio,American Imperial IPA,10.20%,Rotating,"
No notes at this time."
Rinse / Repeat - Simcoe And Amarillo,Westbrook Brewing Co.,4,-,5,32,7.25%,0,3,0,South Carolina,American IPA,7.00%,Rotating,"
No notes at this time."
Elevator Imperial IPA,Harvest Moon Brewery,3.76,"#24,305",8,40,15.69%,1,4,0,Montana,American Imperial IPA,8.70%,Rotating,"
No notes at this time."
I Let My Tape Rock,J. Wakefield Brewing,4.77,-,2,21,4.4%,17,2,0,Florida,American Imperial Stout,17.00%,Limited (brewed once),"
Maple rye barrel aged Big Poppa with Mostra JBM Coffee, coconut and vanilla beans"
VIP (Vanilla Imperial Porter),Madhouse Brewing Company,3.96,"#11,945",6,39,13.13%,4,12,0,Iowa,American Imperial Porter,9.00%,Winter,"
No notes at this time."
Ornette,Right Proper Brewing Company - Shaw Brewpub,3.9,"#14,480",11,65,8.72%,0,6,0,District of Columbia,Belgian Saison,3.70%,Rotating,"
No notes at this time."
Heavy Hands,Spindletap Brewery,4.29,-,6,27,8.39%,2,4,0,Texas,New England IPA,8.00%,Limited (brewed once),"
No notes at this time."
Westly,Sante Adairius Rustic Ales,4.67,#29,39,320,6.42%,534,26,6,California,American Wild Ale,8.50%,Rotating,"
Westly is a reinterpretation of on of our favorite beers we make here at SARA, West Ashley. It is also an exercise in folly. We indulged ourselves on question: what would Ashley be like with more fruit and longer aging? Twice the amount of apricots and twice the time in barrels, Westly is the answer. We hope you agree that sometimes more is better. Sometimes folly is the path. Sante!"
Winter Ale,Zipline Brewing Co,3.81,"#22,210",5,12,9.71%,0,3,0,Nebraska,Herb and Spice Beer,6.50%,Rotating,"
No notes at this time."
Super Nebula,Block 15 Brewery & Restaurant,4.27,"#1,430",43,222,9.13%,208,48,4,Oregon,American Imperial Stout,11.00%,Rotating,"
Imperial stout matured in 9 & 10 year old bourbon barrels. Additionally aged on house roasted Papua New Guinea & Ghana fair trade cocoa nibs. Deep black brew, with a brown creamy head. Excellent wood, chocolate, caramel, light smoke and bourbon in the nose. Complex flavors, with notes of molasses, vanilla, bourbon, coffee, roast fig and wood. Huge depth with a warming balanced finish."
Nice To Meet You,Les Brasseurs du Grand Paris,3.89,"#19,052",6,10,4.11%,0,0,0,France,American Imperial IPA,8.50%,Year-round,"
No notes at this time."
Saison Brett,Four Winds Brewing Co.,4.27,"#3,437",3,26,4.22%,12,2,0,British Columbia,Belgian Saison,7.00%,Fall,"
Aged in Okanagan red wine barrels, our Saison Brett is invigorated with wild yeast strain Brettanomyces, inviting hues of straw and earth."
Plattelander,Proclamation Ale Company,3.93,"#13,068",8,49,12.47%,4,8,0,Rhode Island,Belgian Saison,6.20%,Rotating,"
Plattelander is our nod to belgian style saisons that are great to crush on a hot summer day. A lawnmower beer for the sophisticated, this easy drinker is brewed with the finest european pilsner malts, wheat and oats. Finished with american Sterling hops, Orange peel and black pepper, this delightful little monster has a dry, fruity and spicy finish that will make you beg for more."
Truth.Body.Soul.,Orpheus Brewing,4.12,"#5,469",15,46,12.86%,2,11,0,Georgia,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
Pour Over Porter,Pulpit Rock Brewing Company,4.15,"#5,683",3,29,8.92%,0,0,0,Iowa,American Porter,6.80%,Rotating,"
Robust, coffee-infused porter."
Sovereign Super Saison,Four Winds Brewing Co.,4.16,"#4,885",10,36,10.1%,3,3,0,British Columbia,Belgian Saison,8.50%,Rotating,"
No notes at this time."
Fat Tug IPA,Driftwood Brewery,4.26,"#1,371",174,681,8.69%,158,194,2,British Columbia,American IPA,7.00%,Year-round,"
Fat Tug is a northwest style India Pale Ale that is characterized by an intense hop profile of grapefruit & melon and restrained malt notes. At 7 % alc/vol and 80+ IBUs this beer delivers layers of aroma and flavor that is sure to satisfy anyone with a thirst for all things hoppy!"
Page 24 Réserve Hildegarde,Brasserie Saint-Germain,3.75,"#25,043",20,55,12.27%,6,9,0,France,French Bière de Garde,6.90%,Year-round,"
No notes at this time."
Über Joe,3 Sheeps Brewing,4.32,"#1,287",24,88,5.56%,8,15,0,Wisconsin,American Imperial Stout,10.00%,Winter,"
On the surface, ÜberJoe lives up to its name sake: it’s a big coffee beer. But as with most things at 3 Sheeps, the story behind the beer is more complex. From the full-flavored roast we developed with Colectivo Coffee, to the vanilla we add post-fermentation, to our partnership with Black Swan Cooperage and their unique “honeycomb” cut barrel staves that produce a deeper barrel flavor than typical staves — everything in Uber Joe is designed to highlight its massive coffee flavor. It may be more time consuming, sure, and more expensive, but the end result is worth it. It’s a chocolatey, vanilla stout with notes of sweet baked bread, bourbon, maple candy and all of the coffee flavor you can handle."
